tournament,round,game,game_date,player_name,player_team,player_team_seed,player_minutes,opponent_team,opponent_team_seed,game_points_spread,favored_team,player_team_favored,prop_platform,prop_platform_type,prop_market,prop_line,prop_id,number_times_identified,data_source,file_date
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,betmgm,sportsbook,assists,4.5,cameron_boozer_betmgm_assists_no_1_duke_vs_no_16_siena_20260319,25,"rotowire_subscription, scraped_rotowire","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,betmgm,sportsbook,points,22.5,cameron_boozer_betmgm_points_no_1_duke_vs_no_16_siena_20260319,25,"rotowire_subscription, scraped_rotowire","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,betmgm,sportsbook,rebounds,10.5,cameron_boozer_betmgm_rebounds_no_1_duke_vs_no_16_siena_20260319,25,"rotowire_subscription, scraped_rotowire","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,betmgm,sportsbook,three_pointers_made,1.5,cameron_boozer_betmgm_three_pointers_made_no_1_duke_vs_no_16_siena_20260319,20,rotowire_subscription,"2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,betrivers,sportsbook,assists,5.5,cameron_boozer_betrivers_assists_no_1_duke_vs_no_16_siena_20260319,5,scraped_rotowire,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,betrivers,sportsbook,points,23.5,cameron_boozer_betrivers_points_no_1_duke_vs_no_16_siena_20260319,5,scraped_rotowire,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,betrivers,sportsbook,points_rebounds_assists,39.5,cameron_boozer_betrivers_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,5,scraped_rotowire,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,betrivers,sportsbook,rebounds,10.5,cameron_boozer_betrivers_rebounds_no_1_duke_vs_no_16_siena_20260319,5,scraped_rotowire,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,caesars,sportsbook,assists,5.5,cameron_boozer_caesars_assists_no_1_duke_vs_no_16_siena_20260319,25,"rotowire_subscription, scraped_rotowire","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,caesars,sportsbook,points,23.5,cameron_boozer_caesars_points_no_1_duke_vs_no_16_siena_20260319,27,"rotowire_subscription, scraped_rotowire, bettingpros","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,caesars,sportsbook,rebounds,10.5,cameron_boozer_caesars_rebounds_no_1_duke_vs_no_16_siena_20260319,27,"rotowire_subscription, scraped_rotowire, bettingpros","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,caesars,sportsbook,three_pointers_made,1.5,cameron_boozer_caesars_three_pointers_made_no_1_duke_vs_no_16_siena_20260319,20,rotowire_subscription,"2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,draftkings,sportsbook,assists,5.5,cameron_boozer_draftkings_assists_no_1_duke_vs_no_16_siena_20260319,5,scraped_rotowire,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,draftkings,sportsbook,double_double,NA,cameron_boozer_draftkings_double_double_no_1_duke_vs_no_16_siena_20260319,3,draftkings_top_props,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,draftkings,sportsbook,first_points_scorer,NA,cameron_boozer_draftkings_first_points_scorer_no_1_duke_vs_no_16_siena_20260319,3,draftkings_top_props,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,draftkings,sportsbook,points,24.5,cameron_boozer_draftkings_points_no_1_duke_vs_no_16_siena_20260319,71,"scraped_rotowire, draftkings_top_props","2026-03-19, 2026-03-16, 2026-03-17, 2026-03-18"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,draftkings,sportsbook,points_rebounds_assists,39.5,cameron_boozer_draftkings_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,17,"scraped_rotowire, draftkings_top_props","2026-03-19, 2026-03-17, 2026-03-18"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,draftkings,sportsbook,points_rebounds,25,cameron_boozer_draftkings_points_rebounds_no_1_duke_vs_no_16_siena_20260319,1,draftkings_top_props,2026-03-16
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,draftkings,sportsbook,rebounds,11.5,cameron_boozer_draftkings_rebounds_no_1_duke_vs_no_16_siena_20260319,8,"scraped_rotowire, draftkings_top_props","2026-03-19, 2026-03-16"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,draftkings,sportsbook,three_pointers_made,1,cameron_boozer_draftkings_three_pointers_made_no_1_duke_vs_no_16_siena_20260319,2,draftkings_top_props,"2026-03-16, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,fanduel,sportsbook,assists,5.5,cameron_boozer_fanduel_assists_no_1_duke_vs_no_16_siena_20260319,5,scraped_rotowire,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,fanduel,sportsbook,points,23.5,cameron_boozer_fanduel_points_no_1_duke_vs_no_16_siena_20260319,27,"rotowire_subscription, scraped_rotowire, bettingpros","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,fanduel,sportsbook,rebounds,10.5,cameron_boozer_fanduel_rebounds_no_1_duke_vs_no_16_siena_20260319,27,"rotowire_subscription, scraped_rotowire, bettingpros","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,fliff,dfs,points,23.5,cameron_boozer_fliff_points_no_1_duke_vs_no_16_siena_20260319,2,bettingpros,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,fliff,dfs,rebounds,10.5,cameron_boozer_fliff_rebounds_no_1_duke_vs_no_16_siena_20260319,2,bettingpros,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,hardrock,sportsbook,points,22.5,cameron_boozer_hardrock_points_no_1_duke_vs_no_16_siena_20260319,2,bettingpros,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,hardrock,sportsbook,rebounds,10.5,cameron_boozer_hardrock_rebounds_no_1_duke_vs_no_16_siena_20260319,2,bettingpros,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,pick6,dfs,points,22.5,cameron_boozer_pick6_points_no_1_duke_vs_no_16_siena_20260319,35,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,pick6,dfs,points_rebounds_assists,36.5,cameron_boozer_pick6_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,35,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,pick6,dfs,rebounds,10.5,cameron_boozer_pick6_rebounds_no_1_duke_vs_no_16_siena_20260319,11,rotowire_subscription,"2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,assists,4.5,cameron_boozer_prizepicks_assists_no_1_duke_vs_no_16_siena_20260319,29,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,fantasy_score,44.5,cameron_boozer_prizepicks_fantasy_score_no_1_duke_vs_no_16_siena_20260319,32,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points_assists,26.5,cameron_boozer_prizepicks_points_assists_no_1_duke_vs_no_16_siena_20260319,29,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points,0.5,cameron_boozer_prizepicks_points_no_1_duke_vs_no_16_siena_20260319,113,"rotowire_subscription, bettingpros","2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points_rebounds_assists,36.5,cameron_boozer_prizepicks_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,26,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points_rebounds,32.5,cameron_boozer_prizepicks_points_rebounds_no_1_duke_vs_no_16_siena_20260319,34,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,rebounds_assists,14.5,cameron_boozer_prizepicks_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,44,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,rebounds,10.5,cameron_boozer_prizepicks_rebounds_no_1_duke_vs_no_16_siena_20260319,27,"rotowire_subscription, bettingpros","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,sleeper,dfs,assists,4.5,cameron_boozer_sleeper_assists_no_1_duke_vs_no_16_siena_20260319,1,rotowire_subscription,2026-03-16
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,sleeper,dfs,points,22.5,cameron_boozer_sleeper_points_no_1_duke_vs_no_16_siena_20260319,39,"rotowire_subscription, bettingpros","2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,sleeper,dfs,points_rebounds_assists,38.5,cameron_boozer_sleeper_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,23,rotowire_subscription,"2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,sleeper,dfs,rebounds,10.5,cameron_boozer_sleeper_rebounds_no_1_duke_vs_no_16_siena_20260319,39,"rotowire_subscription, bettingpros","2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,sleeper,dfs,three_pointers_made,1.5,cameron_boozer_sleeper_three_pointers_made_no_1_duke_vs_no_16_siena_20260319,1,rotowire_subscription,2026-03-16
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,thescore,sportsbook,assists,5.5,cameron_boozer_thescore_assists_no_1_duke_vs_no_16_siena_20260319,5,scraped_rotowire,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,thescore,sportsbook,points,24.5,cameron_boozer_thescore_points_no_1_duke_vs_no_16_siena_20260319,7,"scraped_rotowire, bettingpros",2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,thescore,sportsbook,rebounds,11.5,cameron_boozer_thescore_rebounds_no_1_duke_vs_no_16_siena_20260319,6,"scraped_rotowire, bettingpros",2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,underdog,dfs,assists,4.5,cameron_boozer_underdog_assists_no_1_duke_vs_no_16_siena_20260319,4,rotowire_subscription,2026-03-16
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,underdog,dfs,fantasy_score,44.55,cameron_boozer_underdog_fantasy_score_no_1_duke_vs_no_16_siena_20260319,12,rotowire_subscription,"2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,underdog,dfs,points,22.5,cameron_boozer_underdog_points_no_1_duke_vs_no_16_siena_20260319,38,"rotowire_subscription, bettingpros","2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,underdog,dfs,points_rebounds_assists,36.5,cameron_boozer_underdog_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,7,rotowire_subscription,2026-03-16
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cameron Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,underdog,dfs,rebounds,10.5,cameron_boozer_underdog_rebounds_no_1_duke_vs_no_16_siena_20260319,39,"rotowire_subscription, bettingpros","2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,betmgm,sportsbook,points,9.5,cayden_boozer_betmgm_points_no_1_duke_vs_no_16_siena_20260319,25,"rotowire_subscription, scraped_rotowire","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,caesars,sportsbook,points,9.5,cayden_boozer_caesars_points_no_1_duke_vs_no_16_siena_20260319,27,"rotowire_subscription, scraped_rotowire, bettingpros","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,draftkings,sportsbook,points,11.5,cayden_boozer_draftkings_points_no_1_duke_vs_no_16_siena_20260319,19,"scraped_rotowire, draftkings_top_props","2026-03-19, 2026-03-16, 2026-03-17, 2026-03-18"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,fanduel,sportsbook,points,9.5,cayden_boozer_fanduel_points_no_1_duke_vs_no_16_siena_20260319,27,"rotowire_subscription, scraped_rotowire, bettingpros","2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,fliff,dfs,points,10.5,cayden_boozer_fliff_points_no_1_duke_vs_no_16_siena_20260319,2,bettingpros,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,fliff,dfs,rebounds,3.5,cayden_boozer_fliff_rebounds_no_1_duke_vs_no_16_siena_20260319,2,bettingpros,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,hardrock,sportsbook,points,10.5,cayden_boozer_hardrock_points_no_1_duke_vs_no_16_siena_20260319,2,bettingpros,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,pick6,dfs,points,9.5,cayden_boozer_pick6_points_no_1_duke_vs_no_16_siena_20260319,35,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,pick6,dfs,points_rebounds_assists,18.5,cayden_boozer_pick6_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,11,rotowire_subscription,"2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,assists,4.5,cayden_boozer_prizepicks_assists_no_1_duke_vs_no_16_siena_20260319,3,rotowire_subscription,2026-03-19
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,fantasy_score,20.5,cayden_boozer_prizepicks_fantasy_score_no_1_duke_vs_no_16_siena_20260319,32,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points_assists,13.5,cayden_boozer_prizepicks_points_assists_no_1_duke_vs_no_16_siena_20260319,27,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points,9.5,cayden_boozer_prizepicks_points_no_1_duke_vs_no_16_siena_20260319,39,"rotowire_subscription, bettingpros","2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points_rebounds_assists,17.5,cayden_boozer_prizepicks_points_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,25,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,points_rebounds,13.5,cayden_boozer_prizepicks_points_rebounds_no_1_duke_vs_no_16_siena_20260319,32,rotowire_subscription,"2026-03-16, 2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,prizepicks,dfs,rebounds_assists,7,cayden_boozer_prizepicks_rebounds_assists_no_1_duke_vs_no_16_siena_20260319,20,rotowire_subscription,"2026-03-17, 2026-03-18, 2026-03-19"
NCAA Tournament,1st Round,Duke vs. Siena,2026-03-19,Cayden Boozer,Duke,1,39,Siena,16,-27.5,Duke,TRUE,sleeper,dfs,assists,4.5,cayden_boozer_sleeper_assists_no_1_duke_vs_no_16_siena_20260319,3,rotowire_subscription,2026-03-19
