player_name,team,position,market_type,game_matchup,game_date,game_time,player_url,caesars_raw,caesars_line,hardrock_raw,hardrock_line,thescore_bet_raw,thescore_bet_line,prizepicks_raw,prizepicks_line,underdog_raw,underdog_line,fliff_raw,fliff_line,sleeper_raw,sleeper_line,scrape_date,scrape_time,fanduel_raw,fanduel_line,betrivers_raw,betrivers_line,sugarhouse_raw,sugarhouse_line
Cameron Boozer,SIE,F,Rebounds Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/cameron-boozer-f/,O 10.5(-118)/U 10.5(-113),10.5,O 10.5(-130)/U 10.5(-105),10.5,O 11.5(+130)/U 11.5(-170),11.5,O 10.5(-137)/U 10.5(-137),10.5,O 10.5(-112)/U 10.5(-112),10.5,O 10.5(-110)/U 10.5(-140),10.5,O 10.5(-139)/U 10.5(-119),10.5,2026-03-19,12:04:44,O 10.5(-110)/U 10.5(-120),10.5,,,,
Cameron Boozer,SIE,F,Points Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/cameron-boozer-f/,O 22.5(-125)/U 22.5(-107),22.5,O 22.5(-125)/U 22.5(-105),22.5,O 22.5(-120)/U 22.5(-110),22.5,O 22.5(-137)/U 22.5(-137),22.5,O 22.5(-134)/U 22.5(+108),22.5,O 23.5(-115)/U 23.5(-140),23.5,O 22.5(-143)/U 22.5(-115),22.5,2026-03-19,12:04:44,O 22.5(-120)/U 22.5(-108),22.5,,,,
Cayden Boozer,SIE,G,Points Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/cayden-boozer/,O 10.5(-118)/U 10.5(-113),10.5,O 10.5(EVEN)/U 10.5(-130),10.5,O 9.5(-165)/U 9.5(+125),9.5,O 10.5(-137)/U 10.5(-137),10.5,O 9.5(-141)/U 9.5(+114),9.5,O 10.5(-135)/U 10.5(-115),10.5,O 10.5(-130)/U 10.5(-127),10.5,2026-03-19,12:04:44,O 10.5(-110)/U 10.5(-118),10.5,,,,
Cayden Boozer,SIE,G,Rebounds Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/cayden-boozer/,,,,,,,,,O 3.5(+107)/U 3.5(-132),3.5,O 3.5(-105)/U 3.5(-145),3.5,,,2026-03-19,12:04:44,,,,,,
Maliq Brown,SIE,F,Rebounds Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/maliq-brown/,,,,,,,,,O 6.5(-150)/U 6.5(+121),6.5,O 6.5(-170)/U 6.5(+110),6.5,,,2026-03-19,12:04:44,,,,,,
Maliq Brown,SIE,F,Points Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/maliq-brown/,,,,,,,,,O 5.5(-137)/U 5.5(+112),5.5,O 5.5(-155)/U 5.5(EVEN),5.5,,,2026-03-19,12:04:44,,,,,,
Gavin Doty,SIE,G,Points Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/gavin-doty/,O 14.5(-125)/U 14.5(-106),14.5,O 15.5(EVEN)/U 15.5(-130),15.5,O 14.5(-125)/U 14.5(-105),14.5,O 15.0(-137)/U 15.0(-137),15.0,O 15.5(+104)/U 15.5(-127),15.5,O 15.5(-125)/U 15.5(-125),15.5,O 14.5(-145)/U 14.5(-112),14.5,2026-03-19,12:04:44,,,,,,
Gavin Doty,SIE,G,Rebounds Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/gavin-doty/,,,,,,,O 5.5(-137)/U 5.5(-137),5.5,O 5.5(-102)/U 5.5(-121),5.5,O 5.5(-115)/U 5.5(-135),5.5,O 5.5(-128)/U 5.5(-128),5.5,2026-03-19,12:04:44,,,,,,
Isaiah Evans,SIE,,Points Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/isaiah-evans/,O 14.5(-129)/U 14.5(-104),14.5,O 14.5(-130)/U 14.5(EVEN),14.5,O 14.5(-125)/U 14.5(-105),14.5,O 14.5(-137)/U 14.5(-137),14.5,O 14.5(-136)/U 14.5(+110),14.5,O 14.5(-140)/U 14.5(-115),14.5,O 15.5(-116)/U 15.5(-141),15.5,2026-03-19,12:04:44,O 14.5(-128)/U 14.5(-102),14.5,,,,
Isaiah Evans,SIE,,Rebounds Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/isaiah-evans/,,,,,,,,,O 2.5(-154)/U 2.5(+126),2.5,O 2.5(-175)/U 2.5(+110),2.5,,,2026-03-19,12:04:44,,,,,,
Francis Folefac,SIE,F,Rebounds Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/francis-folefac/,,,,,,,,,O 5.5(-145)/U 5.5(+118),5.5,O 5.5(-165)/U 5.5(+105),5.5,,,2026-03-19,12:04:44,,,,,,
Francis Folefac,SIE,F,Points Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/francis-folefac/,O 8.5(-115)/U 8.5(-117),8.5,O 8.5(-120)/U 8.5(-110),8.5,,,O 8.5(-137)/U 8.5(-137),8.5,O 9.5(+108)/U 9.5(-132),9.5,O 9.5(-105)/U 9.5(-150),9.5,O 8.5(-133)/U 8.5(-123),8.5,2026-03-19,12:04:44,,,,,,
Dame Sarr,SIE,,Points Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/dame-sarr/,O 8.5(-122)/U 8.5(-109),8.5,,,O 8.5(-115)/U 8.5(-115),8.5,O 8.5(-137)/U 8.5(-137),8.5,O 8.5(-112)/U 8.5(-112),8.5,O 8.5(-140)/U 8.5(-110),8.5,O 8.5(-137)/U 8.5(-120),8.5,2026-03-19,12:04:44,O 8.5(-114)/U 8.5(-114),8.5,,,,
Dame Sarr,SIE,,Rebounds Over/Under,SIE at DUKE,Today,6:50 PM UTC,https://www.bettingpros.com/ncaab/odds/player-props/dame-sarr/,O 4.5(-120)/U 4.5(-112),4.5,,,O 4.5(-120)/U 4.5(-110),4.5,O 4.5(-137)/U 4.5(-137),4.5,O 4.5(-112)/U 4.5(-112),4.5,O 4.5(-160)/U 4.5(+105),4.5,O 4.5(-133)/U 4.5(-123),4.5,2026-03-19,12:04:44,O 4.5(-115)/U 4.5(-115),4.5,,,,
